player_name,class,position,games_played,games_started,number,height,bats,throws,hometown,high_school,player_id,player_url,team_id,year,team_name,conference_id,conference,division,season_id,prev_team_id
Ryan Revera,Jr.,C,2,1,1,-,RIGHT,RIGHT,,,9211936,https://stats.ncaa.org/players/9211936,596813,2025,AUM,858,Gulf South,2,16779,30093
Payte Williams,Sr.,P,3,3,26,6-1,RIGHT,RIGHT,"Tuscaloosa, AL",,8880873,https://stats.ncaa.org/players/8880873,596813,2025,AUM,858,Gulf South,2,16779,30093
Cole Strachan,Sr.,UT,10,10,25,6-0,RIGHT,RIGHT,"Madison, AL",,8878855,https://stats.ncaa.org/players/8878855,596813,2025,AUM,858,Gulf South,2,16779,30093
Tyrese Rooks,Sr.,OF,10,10,2,5-8,LEFT,LEFT,"Semmes, AL",,8887120,https://stats.ncaa.org/players/8887120,596813,2025,AUM,858,Gulf South,2,16779,30093
Hayden Grier,Sr.,C,7,6,8,5-10,RIGHT,RIGHT,"Marietta, GA",,8880050,https://stats.ncaa.org/players/8880050,596813,2025,AUM,858,Gulf South,2,16779,30093
Ryan Slaten,Sr.,P,2,1,30,6-5,RIGHT,RIGHT,"Alexander City, AL",,8876068,https://stats.ncaa.org/players/8876068,596813,2025,AUM,858,Gulf South,2,16779,30093
Jayce James,Sr.,P,2,0,27,6-1,LEFT,LEFT,"Eufaula, AL",,8882267,https://stats.ncaa.org/players/8882267,596813,2025,AUM,858,Gulf South,2,16779,30093
Chance Sweeney,Fr.,OF,4,0,11,-,RIGHT,LEFT,,,9211940,https://stats.ncaa.org/players/9211940,596813,2025,AUM,858,Gulf South,2,16779,30093
Tyson Tubbs,Jr.,P,3,0,28,-,LEFT,RIGHT,,,9211952,https://stats.ncaa.org/players/9211952,596813,2025,AUM,858,Gulf South,2,16779,30093
RH Frankland,Sr.,OF,9,6,22,6-1,LEFT,LEFT,"Memphis, TN",,8881692,https://stats.ncaa.org/players/8881692,596813,2025,AUM,858,Gulf South,2,16779,30093
Clay Slagle,Sr.,P,3,3,39,6-2,RIGHT,RIGHT,"Montgomery, AL",,8897279,https://stats.ncaa.org/players/8897279,596813,2025,AUM,858,Gulf South,2,16779,30093
Lucas Baggett,Jr.,P,4,0,3,5-10,RIGHT,RIGHT,"Pike Road, AL",,8897513,https://stats.ncaa.org/players/8897513,596813,2025,AUM,858,Gulf South,2,16779,30093
